,Birthplace,DOB,Name,credits,wins,age
27,"Brooklyn, New York City, New York, USA",1917-6-30,Susan Hayward,64.0,"Won
        1
        Oscar.",98.3983572895
28,"New York City, New York, USA",1915-8-28,Simon Oakland,158.0,0,100.238193018
29,"Darjeeling, West Bengal, British India [now India]",1913-11-5,Vivien Leigh,20.0,"Won
        2
        Oscars.",102.047912389
30,"Detroit, Michigan, USA",1922-11-12,Kim Hunter,140.0,"Won
        1
        Oscar.",93.029431896
31,"Shaker Heights, Ohio, USA",1925-1-26,Paul Newman,83.0,"Won
        1
        Oscar.",90.8227241615
32,"Thomasville, Georgia, USA",1930-2-27,Joanne Woodward,78.0,"Won
        1
        Oscar.",85.735797399
33,"Forest Hills, New York, USA",1956-1-7,David Caruso,45.0,"Won
        1
        Golden Globe.",59.8767967146
34,"Washington, District of Columbia, USA",1948-12-21,Samuel L. Jackson,163.0,"Nominated for
        1
        Oscar.",66.9212867899
35,"Long Beach, California, USA",1964-1-7,Nicolas Cage,81.0,"Won
        1
        Oscar.",51.8767967146
36,"Rotherhithe, London, England, UK",1933-3-14,Michael Caine,160.0,"Won
        2
        Oscars.",82.6940451745
37,"Smethwick, West Midlands, England, UK",1950-2-22,Julie Walters,90.0,"Nominated for
        2
        Oscars.",65.749486653
38,"Madison, Wisconsin, USA",1930-6-19,Gena Rowlands,105.0,"Nominated for
        2
        Oscars.",85.4291581109
39,"New York City, New York, USA",1930-12-9,Buck Henry,62.0,"Nominated for
        2
        Oscars.",84.9555099247
40,"Millburn, New Jersey, USA",1954-4-4,Julie Carmen,70.0,4 nominations.,61.6372347707
41,"The Bronx, New York City, New York, USA",1931-9-17,Anne Bancroft,86.0,"Won
        1
        Oscar.",84.1834360027
42,"Richmond, Virginia, USA",1934-4-24,Shirley MacLaine,70.0,"Won
        1
        Oscar.",81.582477755
43,"Riga, Latvia, USSR [now Latvia]",1948-1-28,Mikhail Baryshnikov,15.0,"Nominated for
        1
        Oscar.",67.819301848
44,"Los Angeles, California, USA",1972-9-27,Gwyneth Paltrow,50.0,"Won
        1
        Oscar.",43.1540041068
45,"Clydebank, West Dunbartonshire, Scotland, UK",1948-5-24,James Cosmo,179.0,2 wins & 1 nomination.,67.498973306
46,"Milan, Lombardy, Italy",1960-2-18,Greta Scacchi,74.0,"Nominated for
        1
        Golden Globe.",55.7618069815
47,"Lexington, Kentucky, USA",1961-5-6,George Clooney,78.0,"Won
        2
        Oscars.",54.5489390828
48,"Passaic County, New Jersey, USA",1973-8-6,Vera Farmiga,49.0,"Nominated for
        1
        Oscar.",42.2970568104
49,"Portland, Maine, USA",1985-8-9,Anna Kendrick,40.0,"Nominated for
        1
        Oscar.",30.288843258
50,"Minneapolis, Minnesota, USA",1908-12-28,Lew Ayres,155.0,"Nominated for
        1
        Oscar.",106.902121834
51,"New York City, New York, USA",1880-3-28,Louis Wolheim,56.0,0,135.65229295
52,"Philadelphia, Pennsylvania, USA",1887-2-13,John Wray,83.0,0,128.772073922
53,"San Antonio, Texas, USA",1905-3-23,Joan Crawford,105.0,"Won
        1
        Oscar.",110.669404517
54,"Filley, Nebraska, USA",1911-8-5,Robert Taylor,79.0,2 wins.,104.301163587
55,"Philadelphia, Pennsylvania, USA",1878-4-28,Lionel Barrymore,221.0,"Won
        1
        Oscar.",137.568788501
56,"Lowell, Massachusetts, USA",1908-4-5,Bette Davis,125.0,"Won
        2
        Oscars.",107.633127995
57,"Springfield, Ohio, USA",1893-10-14,Lillian Gish,121.0,"Nominated for
        1
        Oscar.",122.105407255
58,"St. Louis, Missouri, USA",1911-5-27,Vincent Price,199.0,8 wins & 1 nomination.,104.492813142
59,"Miami, Florida, USA",1927-2-20,Sidney Poitier,55.0,"Won
        1
        Oscar.",88.7556468172
60,"Westhampton, New York, USA",1925-4-14,Rod Steiger,147.0,"Won
        1
        Oscar.",90.6091718001
61,"Depoy, Kentucky, USA",1928-7-5,Warren Oates,124.0,1 win & 2 nominations.,87.3839835729
62,"The Bronx, New York, USA",1940-3-26,James Caan,126.0,"Nominated for
        1
        Oscar.",75.6605065024
63,"Memphis, Tennessee, USA",1948-6-28,Kathy Bates,117.0,"Won
        1
        Oscar.",67.4031485284
64,"Los Angeles, California, USA",1920-9-1,Richard Farnsworth,89.0,"Nominated for
        2
        Oscars.",95.2251882272
65,"Lower East Side, Manhattan, New York City, New York, USA",1920-10-1,Walter Matthau,104.0,"Won
        1
        Oscar.",95.1430527036
66,"Concord, California, USA",1956-7-9,Tom Hanks,79.0,"Won
        2
        Oscars.",59.3730321697
67,"Fort Worth, Texas, USA",1955-5-17,Bill Paxton,93.0,"Nominated for
        4
        Golden Globes.",60.5201916496
68,"Philadelphia, Pennsylvania, USA",1958-7-8,Kevin Bacon,80.0,"Won
        1
        Golden Globe.",57.3771389459
69,"Pittsburgh, Pennsylvania, USA",1892-7-29,William Powell,96.0,"Nominated for
        3
        Oscars.",123.315537303
70,"Radersburg, Montana, USA",1905-8-2,Myrna Loy,139.0,4 wins.,110.308008214
71,"Düsseldorf, North Rhine-Westphalia, Germany",1910-1-12,Luise Rainer,24.0,"Won
        2
        Oscars.",105.861738535
72,"Cleveland, Ohio, USA",1952-6-18,Carol Kane,143.0,"Nominated for
        1
        Oscar.",63.4305270363
73,"Helensburgh, Scotland, UK",1921-9-30,Deborah Kerr,53.0,"Nominated for
        6
        Oscars.",94.1464750171
74,"London, England, UK",1905-8-9,Leo Genn,83.0,"Nominated for
        1
        Oscar.",110.288843258
75,"Ingatestone, Essex, England, UK",1941-12-31,Sarah Miles,36.0,"Nominated for
        1
        Oscar.",73.8945927447
76,"Bridgeton, Glasgow, Scotland, UK",1950-1-1,David Hayman,115.0,1 win & 6 nominations.,65.8918548939
77,"Chicago, Illinois, USA",1933-2-13,Kim Novak,34.0,"Won
        1
        Golden Globe.",82.7734428474
78,"Hollywood, Los Angeles, California, USA",1962-2-5,Jennifer Jason Leigh,90.0,"Nominated for
        1
        Golden Globe.",53.7960301164
79,"Phoenix, Arizona, USA",1959-5-16,Mare Winningham,92.0,"Nominated for
        1
        Oscar.",56.5229295003
80,"Bellaire, Ohio, USA",1957-5-29,Ted Levine,73.0,1 nomination.,58.4859685147
81,"St. Louis, Missouri, USA",1954-10-9,Scott Bakula,71.0,"Won
        1
        Golden Globe.",61.1225188227
82,"Elizabeth, New Jersey, USA",1959-9-23,Elizabeth Peña,102.0,6 wins & 5 nominations.,56.167008898
83,"New York City, New York, USA",1951-6-13,Richard Thomas,106.0,"Nominated for
        2
        Golden Globes.",64.4462696783
84,"New York City, New York, USA",1890-2-18,Edward Arnold,149.0,0,125.757700205
85,"South Pasadena, California, USA",1905-11-5,Joel McCrea,95.0,6 wins.,110.047912389
86,"Seattle, Washington, USA",1913-9-19,Frances Farmer,21.0,0,102.176591376
87,"Shawnee, Oklahoma, USA",1963-12-18,Brad Pitt,75.0,"Won
        1
        Oscar.",51.9315537303
88,"Melbourne, Victoria, Australia",1969-5-14,Cate Blanchett,61.0,"Won
        2
        Oscars.",46.5270362765
89,"Westminster, London, England, UK",1960-11-5,Tilda Swinton,72.0,"Won
        1
        Oscar.",55.0472279261
90,"Paisley, Scotland, UK",1941-11-22,Tom Conti,92.0,"Nominated for
        1
        Oscar.",74.0013689254
91,"Newport Beach, California, USA",1957-7-9,Kelly McGillis,51.0,"Nominated for
        1
        Golden Globe.",58.3737166324
92,"New Haven, Connecticut, USA",1924-3-25,Roberts Blossom,57.0,1 win.,91.6632443532
93,"Jerusalem, Israel",1981-6-9,Natalie Portman,48.0,"Won
        1
        Oscar.",34.4558521561
94,"Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]",1983-8-14,Mila Kunis,59.0,"Nominated for
        1
        Golden Globe.",32.2765229295
95,"Paris, France",1966-11-23,Vincent Cassel,72.0,7 wins & 14 nominations.,48.9993155373
96,"Trieste, Austria-Hungary [now Trieste, Friuli-Venezia Giulia, Italy]",1908-1-10,Paul Henreid,58.0,2 wins.,107.868583162
97,"Camberwell, London, England, UK",1889-11-10,Claude Rains,79.0,"Nominated for
        4
        Oscars.",126.031485284
98,"Saint-Mandé, Val-de-Marne, France",1903-9-13,Claudette Colbert,81.0,"Won
        1
        Oscar.",112.194387406
99,"Tulsa, Oklahoma, USA",1919-3-2,Jennifer Jones,27.0,"Won
        1
        Oscar.",96.7282683094
100,"Petersburg, Virginia, USA",1905-5-15,Joseph Cotten,132.0,2 wins.,110.524298426
101,"Helena, Montana, USA",1901-5-7,Gary Cooper,119.0,"Won
        2
        Oscars.",114.546201232
102,"Plattsburgh, New York, USA",1900-10-17,Jean Arthur,97.0,"Nominated for
        1
        Oscar.",115.099247091
103,"Philadelphia, Pennsylvania, USA",1882-9-30,George Bancroft,54.0,"Nominated for
        1
        Oscar.",133.144421629
104,"Tampico, Illinois, USA",1911-2-6,Ronald Reagan,81.0,4 wins.,104.793976728
105,"Packard, Kentucky, USA",1926-1-20,Patricia Neal,73.0,"Won
        1
        Oscar.",89.839835729
106,"Dublin, Ireland",1919-6-11,Richard Todd,75.0,"Nominated for
        1
        Oscar.",96.4517453799
107,"Horfield, Bristol, England, UK",1904-1-18,Cary Grant,76.0,"Nominated for
        2
        Oscars.",111.846680356
108,"Richmond, Surrey, England, UK",1891-2-9,Ronald Colman,62.0,"Won
        1
        Oscar.",124.783025325
109,"Brooklyn, New York City, New York, USA",1935-12-1,Woody Allen,44.0,"Won
        4
        Oscars.",79.9780971937
110,"Los Angeles, California, USA",1945-2-9,Mia Farrow,58.0,"Won
        1
        Golden Globe.",70.7843942505
111,"Lafayette, Indiana, USA",1934-7-1,Sydney Pollack,40.0,"Won
        2
        Oscars.",81.3963039014
112,"Patten, Maine, USA",1900-9-13,Gladys George,46.0,"Nominated for
        1
        Oscar.",115.192334018
113,"Bridgeport, Connecticut, USA",1912-2-21,Arline Judge,50.0,0,103.753593429
114,"Cleveland, Ohio, USA",1913-4-14,John Howard,117.0,1 win.,102.6091718
115,"Joniskis, Lithuania",1928-10-1,Laurence Harvey,67.0,"Nominated for
        1
        Oscar.",87.1430527036
116,"Kirksville, Missouri, USA",1924-11-22,Geraldine Page,67.0,"Won
        1
        Oscar.",91.0006844627
117,"Humacao, Puerto Rico",1931-12-11,Rita Moreno,148.0,"Won
        1
        Oscar.",83.9507186858
118,"Indiana, Pennsylvania, USA",1908-5-20,James Stewart,98.0,"Won
        1
        Oscar.",107.509924709
119,"Denton, Texas, USA",1915-2-21,Ann Sheridan,98.0,2 wins.,100.752908966
120,"Joplin, Missouri, USA",1910-6-9,Robert Cummings,105.0,"Won
        1
        Primetime Emmy.",105.456536619
121,"Keresley, Coventry, Warwickshire, England, UK",1964-10-3,Clive Owen,67.0,"Nominated for
        1
        Oscar.",51.1375770021
122,"Toowoomba, Queensland, Australia",1951-7-6,Geoffrey Rush,62.0,"Won
        1
        Oscar.",64.3832991102
123,"London, England, UK",1950-6-30,Leonard Whiting,13.0,"Won
        1
        Golden Globe.",65.3990417522
124,"Buenos Aires City, Argentina",1951-4-17,Olivia Hussey,56.0,"Won
        1
        Golden Globe.",64.6023271732
125,"Birmingham, England, UK",1943-11-1,John McEnery,71.0,"Nominated for
        1
        BAFTA Film Award.",72.0602327173
126,"Haverfordwest, Pembrokeshire, Wales, UK",1974-1-30,Christian Bale,50.0,"Won
        1
        Oscar.",41.8124572211
127,"Perth, Western Australia, Australia",1979-4-4,Heath Ledger,23.0,"Won
        1
        Oscar.",36.6379192334
128,"Cupertino, California, USA",1968-3-12,Aaron Eckhart,40.0,"Nominated for
        1
        Golden Globe.",47.6988364134
129,"Montréal, Québec, Canada",1902-8-10,Norma Shearer,63.0,"Won
        1
        Oscar.",113.28678987
130,"Fishkill Landing [now Beacon], New York, USA",1904-5-21,Robert Montgomery,64.0,"Nominated for
        2
        Oscars.",111.507186858
131,"New York City, New York, USA",1901-2-16,Chester Morris,127.0,"Nominated for
        1
        Oscar.",114.765229295
132,"Glasgow, Scotland, UK",1961-4-14,Robert Carlyle,59.0,"Nominated for
        1
        Primetime Emmy.",54.6091718001
133,"Leeds, West Yorkshire, England, UK",1948-2-5,Tom Wilkinson,123.0,"Nominated for
        2
        Oscars.",67.7973990418
134,"York, England, UK",1964-1-14,Mark Addy,49.0,"Nominated for
        1
        BAFTA Film Award.",51.8576317591
135,"Owensboro, Kentucky, USA",1963-6-9,Johnny Depp,75.0,"Nominated for
        3
        Oscars.",52.4572210815
136,"Reading, Berkshire, England, UK",1975-10-5,Kate Winslet,45.0,"Won
        1
        Oscar.",40.1341546886
137,"Chabua, Assam, India",1941-4-14,Julie Christie,52.0,"Won
        1
        Oscar.",74.6091718001
138,"New York City, New York, USA",1904-10-22,Constance Bennett,67.0,1 win.,111.085557837
139,"Racine, Wisconsin, USA",1897-8-31,Fredric March,87.0,"Won
        2
        Oscars.",118.22587269
140,"New York City, New York, USA",1890-6-1,Frank Morgan,101.0,"Nominated for
        2
        Oscars.",125.475701574
141,"Concord, Massachusetts, USA",1962-8-16,Steve Carell,66.0,"Nominated for
        1
        Oscar.",53.2703627652
142,"Cullman, Alabama, USA",1980-4-26,Channing Tatum,42.0,19 wins & 51 nominations.,35.575633128
143,"Kenosha, Wisconsin, USA",1967-11-22,Mark Ruffalo,62.0,"Nominated for
        2
        Oscars.",48.0027378508
144,"Indianapolis, Indiana, USA",1968-12-3,Brendan Fraser,61.0,7 wins & 10 nominations.,46.970568104
145," Do Thi Hai Yen
",2015-11-23,Do Thi Hai Yen,7.0,1 nomination.,0.0
146,"Los Angeles, California, USA",1949-12-4,Jeff Bridges,85.0,"Won
        1
        Oscar.",65.9685147159
147,"Carrollton, Illinois, USA",1951-10-5,Karen Allen,59.0,1 win & 3 nominations.,64.1341546886
148,"Van Nuys, California, USA",1953-10-30,Charles Martin Smith,86.0,3 wins & 10 nominations.,62.0643394935
149,"Savannah, Georgia, USA",1877-6-19,Charles Coburn,99.0,"Won
        1
        Oscar.",138.425735797
150,"New York City, New York, USA",1899-7-17,James Cagney,69.0,"Won
        1
        Oscar.",116.350444901
151,"Portland, Maine, USA",1919-11-20,Phyllis Thaxter,68.0,1 win.,96.0082135524
152,"Toronto, Ontario, Canada",1896-8-30,Raymond Massey,85.0,"Nominated for
        1
        Oscar.",119.227926078
153,"Boston, Massachusetts, USA",1939-10-28,Jane Alexander,70.0,"Nominated for
        4
        Oscars.",76.0711841205
154,"Albany, New York, USA",1939-9-5,William Devane,122.0,"Nominated for
        1
        Golden Globe.",76.2162902122
155,"Ventura, California, USA",1969-3-13,Rossie Harris,32.0,5 nominations.,46.6967830253
156,"Lynwood, California, USA",1955-1-18,Kevin Costner,54.0,"Won
        2
        Oscars.",60.8459958932
157,"Arkabutla, Mississippi, USA",1931-1-17,James Earl Jones,190.0,"Nominated for
        1
        Oscar.",84.848733744
158,"Newark, New Jersey, USA",1954-12-18,Ray Liotta,106.0,"Nominated for
        1
        Golden Globe.",60.9308692676
159,"Margam, Port Talbot, West Glamorgan, Wales, UK",1937-12-31,Anthony Hopkins,127.0,"Won
        1
        Oscar.",77.8945927447
160,"Cleveland Heights, Ohio, USA",1955-5-16,Debra Winger,40.0,"Nominated for
        3
        Oscars.",60.5229295003
161,"Cairo, Egypt",1949-8-17,Julian Fellowes,69.0,"Won
        1
        Oscar.",66.2669404517
162,"Stockholm, Stockholms län, Sweden",1905-9-18,Greta Garbo,32.0,"Nominated for
        4
        Oscars.",110.179329227
163,"Coventry, Warwickshire, England, UK",1929-4-5,Nigel Hawthorne,107.0,"Nominated for
        1
        Oscar.",86.6338124572
164,"Chiswick, London, England, UK",1945-7-26,Helen Mirren,122.0,"Won
        1
        Oscar.",70.3271731691
165,"Weston-super-Mare, Somerset, England, UK",1963-6-30,Rupert Graves,87.0,1 win & 1 nomination.,52.3997262149
166,"San Francisco, California, USA",1938-7-20,Natalie Wood,73.0,"Nominated for
        3
        Oscars.",77.3442847365
167,"Beech Grove, Indiana, USA",1930-3-24,Steve McQueen,41.0,"Nominated for
        1
        Oscar.",85.6673511294
168,"Kingston, Pennsylvania, USA",1927-4-16,Edie Adams,62.0,"Nominated for
        3
        Primetime Emmys.",88.605065024
169,"Manhattan, New York City, New York, USA",1937-4-22,Jack Nicholson,75.0,"Won
        3
        Oscars.",78.5872689938
170,"London, England, UK",1904-9-29,Greer Garson,44.0,"Won
        1
        Oscar.",111.148528405
171,"Saint John, New Brunswick, Canada",1897-9-23,Walter Pidgeon,138.0,"Nominated for
        2
        Oscars.",118.162902122
172,"Manhattan, New York City, New York, USA",1918-10-27,Teresa Wright,84.0,"Won
        1
        Oscar.",97.0732375086
173,"San Francisco, California, USA",1930-5-31,Clint Eastwood,68.0,"Won
        4
        Oscars.",85.4811772758
174,"New York City, New York, USA",1925-2-18,George Kennedy,182.0,"Won
        1
        Oscar.",90.7597535934
175,"Port Glasgow, Scotland, UK",1979-4-21,James McAvoy,47.0,"Nominated for
        1
        Golden Globe.",36.59137577
176,"Longview, Texas, USA",1961-7-15,Forest Whitaker,111.0,"Won
        1
        Oscar.",54.3572895277
177,"Chicago, Illinois, USA",1968-8-9,Gillian Anderson,53.0,"Won
        1
        Golden Globe.",47.2881587953
178,"New York City, New York, USA",1949-10-8,Sigourney Weaver,78.0,"Nominated for
        3
        Oscars.",66.1245722108
179,"Sydney, New South Wales, Australia",1947-6-23,Bryan Brown,80.0,"Nominated for
        1
        Golden Globe.",68.4188911704
180,"Grosse Pointe Park, Michigan, USA",1925-12-2,Julie Harris,99.0,"Nominated for
        1
        Oscar.",89.9739904175
181,"Chicago, Illinois, USA",1942-7-13,Harrison Ford,72.0,"Nominated for
        1
        Oscar.",73.363449692
182,"San Saba, Texas, USA",1946-9-15,Tommy Lee Jones,78.0,"Won
        1
        Oscar.",69.1882272416
183,"Meridian, Mississippi, USA",1956-7-11,Sela Ward,42.0,"Won
        1
        Golden Globe.",59.3675564682
184,"Milwaukee, Wisconsin, USA",1900-4-5,Spencer Tracy,78.0,"Won
        2
        Oscars.",115.633127995
185,"Hartford, Connecticut, USA",1907-5-12,Katharine Hepburn,52.0,"Won
        4
        Oscars.",108.533880903
186,"Carman, Manitoba, Canada",1910-10-27,Jack Carson,132.0,2 wins.,105.073237509
187,"Philadelphia, Pennsylvania, USA",1879-8-15,Ethel Barrymore,43.0,"Won
        1
        Oscar.",136.271047228
188,"Chester, Pennsylvania, USA",1896-10-31,Ethel Waters,28.0,"Nominated for
        1
        Oscar.",119.058179329
189,"Hollywood, Los Angeles, California, USA",1974-11-11,Leonardo DiCaprio,35.0,"Nominated for
        5
        Oscars.",41.0321697467
190,"Finsbury Park, London, England, UK",1973-7-26,Kate Beckinsale,45.0,5 wins & 19 nominations.,42.3271731691
191,"San Antonio, Texas, USA",1971-9-9,Henry Thomas,57.0,"Nominated for
        2
        Golden Globes.",44.205338809
192,"Culver City, California, USA",1975-2-22,Drew Barrymore,67.0,"Won
        1
        Golden Globe.",40.7501711157
193,"Manhattan, New York City, New York, USA",1941-10-10,Peter Coyote,150.0,"Won
        1
        Primetime Emmy.",74.1190965092
194,"Los Angeles, California, USA",1926-6-1,Marilyn Monroe,33.0,"Won
        1
        Golden Globe.",89.4784394251
195,"The Bronx, New York City, New York, USA",1925-6-3,Tony Curtis,129.0,"Nominated for
        1
        Oscar.",90.4722792608
196,"New York City, New York, USA",1965-4-4,Robert Downey Jr.,82.0,"Nominated for
        2
        Oscars.",50.636550308
197,"Santa Monica, California, USA",1944-7-31,Geraldine Chaplin,145.0,"Nominated for
        3
        Golden Globes.",71.3127994524
198,"Neath, Glamorgan, Wales, UK",1963-12-19,Paul Rhys,64.0,2 wins.,51.9288158795
199,"Islington, London, England, UK",1967-1-14,Emily Watson,50.0,"Nominated for
        2
        Oscars.",48.8569472964
200,"Melbourne, Victoria, Australia",1968-12-18,Rachel Griffiths,52.0,"Nominated for
        1
        Oscar.",46.9295003422
201,"Leeds, West Yorkshire, England, UK",1968-3-14,James Frain,87.0,1 nomination.,47.6933607118
202,"Ipswich, Suffolk, England, UK",1962-12-22,Ralph Fiennes,66.0,"Nominated for
        2
        Oscars.",52.9199178645
203,"Zürich-Seebach, Switzerland",1941-3-22,Bruno Ganz,109.0,21 wins & 11 nominations.,74.6721423682
204,"Tokyo, Japan",1916-7-1,Olivia de Havilland,60.0,"Won
        2
        Oscars.",99.394934976
205,"Pontrhydyfen, Wales, UK",1925-11-10,Richard Burton,77.0,"Nominated for
        7
        Oscars.",90.0342231348
206,"Dublin, Ireland",1934-1-21,Audrey Dalton,59.0,0,81.8370978782
207,"Tenafly, New Jersey, USA",1950-11-28,Ed Harris,98.0,"Nominated for
        4
        Oscars.",64.9856262834
208,"La Jolla, California, USA",1959-8-14,Marcia Gay Harden,103.0,"Won
        1
        Oscar.",56.2765229295
209,"Denver, Colorado, USA",1938-1-1,Tom Bower,162.0,1 nomination.,77.8918548939
210,"Syracuse, New York, USA",1962-7-3,Tom Cruise,45.0,"Nominated for
        3
        Oscars.",53.3908281999
211,"Roswell, New Mexico, USA",1962-11-11,Demi Moore,54.0,"Nominated for
        2
        Golden Globes.",53.0321697467
212,"Chester, Cheshire, England, UK",1968-3-2,Daniel Craig,67.0,"Nominated for
        1
        Primetime Emmy.",47.7262149213
213,"Bedford, New York, USA",1985-4-17,Rooney Mara,27.0,"Nominated for
        1
        Oscar.",30.6009582478
214,"Toronto, Ontario, Canada",1929-12-13,Christopher Plummer,204.0,"Won
        1
        Oscar.",85.9438740589
215,"Cotonou, Benin",1964-4-24,Djimon Hounsou,47.0,"Nominated for
        2
        Oscars.",51.5811088296
216,"Uvalde, Texas, USA",1969-11-4,Matthew McConaughey,57.0,"Won
        1
        Oscar.",46.0506502396
217,"Summit, New Jersey, USA",1949-6-22,Meryl Streep,76.0,"Won
        3
        Oscars.",66.4202600958
218,"Houston, Texas, USA",1954-4-9,Dennis Quaid,82.0,"Nominated for
        2
        Golden Globes.",61.6235455168
219,"Boston, Massachusetts, USA",1970-10-8,Matt Damon,73.0,"Won
        1
        Oscar.",45.1252566735
220,"Tarzana, Los Angeles, California, USA",1996-12-11,Hailee Steinfeld,24.0,"Nominated for
        1
        Oscar.",18.9486652977
221,"Biloxi, Mississippi, USA",1956-4-18,Eric Roberts,402.0,"Nominated for
        1
        Oscar.",59.5975359343
222,"Schenectady, New York, USA",1952-9-16,Mickey Rourke,76.0,"Nominated for
        1
        Oscar.",63.1841204654
223,"Chicago, Illinois, USA",1960-12-3,Daryl Hannah,89.0,4 wins & 6 nominations.,54.970568104
224,"Chicago, Illinois, USA",1909-11-11,Robert Ryan,90.0,"Nominated for
        1
        Oscar.",106.031485284
225,"London, England, UK",1921-4-16,Peter Ustinov,100.0,"Won
        2
        Oscars.",94.6036960986
226,"Macon, Georgia, USA",1901-4-5,Melvyn Douglas,111.0,"Won
        2
        Oscars.",114.633812457
227,"Constantinople, Ottoman Empire [now Istanbul, Turkey]",1862-4-27,Rudolph Schildkraut,26.0,0,153.571526352
228,"Evansville, Indiana, USA",1878-10-5,Louise Dresser,50.0,"Nominated for
        1
        Oscar.",137.130732375
229,"Toronto, Ontario, Canada",1883-4-5,Walter Huston,54.0,"Won
        1
        Oscar.",132.632443532
230,"Chicago, Illinois, USA",1889-5-3,Beulah Bondi,86.0,"Nominated for
        2
        Oscars.",126.554414784
231,"Winterset, Iowa, USA",1907-5-26,John Wayne,179.0,"Won
        1
        Oscar.",108.495550992
232,"Chicago, Illinois, USA",1921-1-31,John Agar,95.0,2 wins.,94.8090349076
233,"Highland Park, Michigan, USA",1923-4-28,Adele Mara,98.0,0,92.5722108145
234,"Savannah, Georgia, USA",1902-10-18,Miriam Hopkins,52.0,"Nominated for
        1
        Oscar.",113.097878166
235,India,1911-2-19,Merle Oberon,60.0,"Nominated for
        1
        Oscar.",104.758384668
236,"Louisville, Kentucky, USA",1898-12-20,Irene Dunne,50.0,"Nominated for
        5
        Oscars.",116.922655715
237,"Elizabeth, New Jersey, USA",1892-7-11,Thomas Mitchell,106.0,"Won
        1
        Oscar.",123.364818617
238,"New York City, New York, USA",1913-11-2,Burt Lancaster,88.0,"Won
        1
        Oscar.",102.056125941
239,"Chicago, Illinois, USA",1912-3-22,Karl Malden,72.0,"Won
        1
        Oscar.",103.671457906
240,"Brooklyn, New York, USA",1902-2-14,Thelma Ritter,44.0,"Nominated for
        6
        Oscars.",113.771389459
241,"Stockholm, Sweden",1915-8-29,Ingrid Bergman,52.0,"Won
        3
        Oscars.",100.235455168
242,"Tiflis, Russian Empire [now Tbilisi, Republic of Georgia]",1899-10-29,Akim Tamiroff,156.0,"Nominated for
        2
        Oscars.",116.065708419
