,Birthplace,DOB,Name,credits,wins,age
23,"Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]",1906-6-22,Billy Wilder,27,"Won
        6
        Oscars.",109.420944559
24,"Duncan, Oklahoma, USA",1954-3-1,Ron Howard,38,"Won
        2
        Oscars.",61.7303216975
25,"Chicago, Illinois, USA",1889-10-7,Robert Z. Leonard,16,"Nominated for
        2
        Oscars.",126.124572211
26,"Omaha, Nebraska, USA",1935-5-24,Joan Micklin Silver,20,6 wins & 3 nominations.,80.501026694
27,"San Francisco, California, USA",1900-10-15,Mervyn LeRoy,78,"Nominated for
        1
        Oscar.",115.104722793
28,"Rosehill, Carshalton, Surrey, England, UK",1933-1-18,John Boorman,31,"Nominated for
        5
        Oscars.",82.8446269678
29,"Texarkana, Texas, USA",1908-10-5,Joshua Logan,11,"Nominated for
        3
        Oscars.",107.1321013
30,"Antwerp, Antwerp, Belgium",1929-1-9,Ulu Grosbard,7 ,1 win & 2 nominations.,86.8692676249
31,"Yekaterinoslav, Ukrainian SSR, USSR [now Dnipropetrovsk, Ukraine]",1923-10-18,Boris Sagal,98,"Nominated for
        4
        Primetime Emmys.",92.0985626283
32,"Goshen, Indiana, USA",1896-5-30,Howard Hawks,47,"Nominated for
        1
        Oscar.",119.47980835
33,"Denver, Colorado, USA",1962-8-28,David Fincher,25,"Nominated for
        2
        Oscars.",53.2375085558
34,"Houston, Texas, USA",1960-7-30,Richard Linklater,25,"Nominated for
        5
        Oscars.",55.3155373032
35,"New York City, New York, USA",1932-7-18,Robert Ellis Miller,56,"Nominated for
        1
        Primetime Emmy.",83.3483915127
36,"Leicester, Leicestershire, England, UK",1941-6-20,Stephen Frears,61,"Nominated for
        2
        Oscars.",74.4257357974
37,"London, England, UK",1898-1-16,Irving Rapper,22,1 nomination.,117.848049281
38,"Toledo, Ohio, USA",1887-12-23,John Cromwell,49,1 win & 4 nominations.,127.915126626
39,"Bisacquino, Sicily, Italy",1897-5-18,Frank Capra,58,"Won
        3
        Oscars.",118.513347023
40,"Vienna, Georgia, USA",1906-7-16,Vincent Sherman,56,0,109.35523614
41,"Oakland, California, USA",1904-12-18,George Stevens,58,"Won
        2
        Oscars.",110.929500342
42,"Brooklyn, New York City, New York, USA",1935-12-1,Woody Allen,52,"Won
        4
        Oscars.",79.9780971937
43,"Los Angeles, California, USA",1889-6-11,Wesley Ruggles,83,"Nominated for
        1
        Oscar.",126.447638604
44,"Hampstead, London, England, UK",1913-10-28,Peter Glenville,7 ,"Nominated for
        1
        Oscar.",102.069815195
45,"Berlin, Germany",1905-5-1,Henry Koster,49,"Nominated for
        1
        Oscar.",110.562628337
46,"Philadelphia, Pennsylvania, USA",1883-7-10,Sam Wood,82,"Nominated for
        3
        Oscars.",132.369609856
47,"Lahore, Punjab, British India [now Pakistan]",1945-12-6,Shekhar Kapur,11,"Nominated for
        1
        Golden Globe.",69.9630390144
48,"Florence, Tuscany, Italy",1923-2-12,Franco Zeffirelli,23,"Nominated for
        2
        Oscars.",92.7775496235
49,"London, England, UK",1970-7-30,Christopher Nolan,12,"Nominated for
        3
        Oscars.",45.3169062286
50,"New York City, New York, USA",1928-7-26,Stanley Kubrick,16,"Won
        1
        Oscar.",87.3264887064
51,"Illertissen, Bavaria, Germany",1969-11-30,Marc Forster,13,"Nominated for
        1
        Golden Globe.",45.9794661191
52,"Towanda, Pennsylvania, USA",1892-3-10,Gregory La Cava,17,"Nominated for
        2
        Oscars.",123.701574264
53,USA,1972-8-24,Ava DuVernay,14,"Nominated for
        1
        Golden Globe.",43.2470910335
54,"Griffith, New South Wales, Australia",1950-4-29,Phillip Noyce,52,22 wins & 9 nominations.,65.568788501
55,"Carthage, New York, USA",1948-1-16,John Carpenter,28,13 wins & 18 nominations.,67.8521560575
56,"Aldershot, Hampshire, England, UK",1929-7-24,Peter Yates,28,"Nominated for
        4
        Oscars.",86.3326488706
57,"New York City, New York, USA",1899-7-7,George Cukor,67,"Won
        1
        Oscar.",116.377823409
58,"New York City, New York, USA",1907-12-15,Gordon Douglas,98,0,107.939767283
59,"Montreal, Quebec, Canada",1963-3-9,Jean-Marc Vallée,14,"Nominated for
        1
        Oscar.",52.7091033539
60,"New York City, New York, USA",1941-6-26,Lynne Littman,11,"Won
        1
        Oscar.",74.4093086927
61,"Long Beach, Long Island, New York, USA",1950-3-1,Phil Alden Robinson,8 ,"Nominated for
        1
        Oscar.",65.7303216975
62,"Cambridge, Cambridgeshire, England, UK",1923-8-29,Richard Attenborough,12,"Won
        2
        Oscars.",92.2354551677
63,"New Haven, Connecticut, USA",1946-8-17,Martha Coolidge,51,"Nominated for
        1
        Primetime Emmy.",69.2676249144
64,"Manchester, England, UK",1956-5-7,Nicholas Hytner,6 ,"Nominated for
        1
        BAFTA Film Award.",59.5455167693
65,"The Bronx, New York City, New York, USA",1925-8-23,Robert Mulligan,34,"Nominated for
        1
        Oscar.",90.250513347
66,"North Bergen, New Jersey, USA",1940-5-9,James L. Brooks,6 ,"Won
        3
        Oscars.",75.5400410678
67,"Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France]",1902-7-1,William Wyler,72,"Won
        3
        Oscars.",113.396303901
68,"New York City, New York, USA",1939-2-3,Michael Cimino,8 ,"Won
        2
        Oscars.",76.8021902806
69,"New York City, New York, USA",1971-5-14,Sofia Coppola,9 ,"Won
        1
        Oscar.",44.5284052019
70,"Aylesbury, Buckinghamshire, England, UK",1941-2-10,Michael Apted,76,19 wins & 15 nominations.,74.7816563997
71,"Chicago, Illinois, USA",1946-11-21,Andrew Davis,15,"Nominated for
        1
        Golden Globe.",69.0047912389
72,"Cincinnati, Ohio, USA",1946-12-18,Steven Spielberg,55,"Won
        3
        Oscars.",68.9308692676
73,"Budapest, Austria-Hungary [now Hungary]",1886-12-24,Michael Curtiz,17,"Won
        1
        Oscar.",128.911704312
74,"Hereford, England, UK",1944-5-25,Frank Oz,15,"Won
        1
        Primetime Emmy.",71.4962354552
75,"Dorset, England, UK",1961-5-2,Stephen Daldry,10,"Nominated for
        3
        Oscars.",54.559890486
76,"Tenafly, New Jersey, USA",1950-11-28,Ed Harris,2 ,"Nominated for
        4
        Oscars.",64.9856262834
77,"Berlin, Germany",1931-11-6,Mike Nichols,22,"Won
        1
        Oscar.",84.0465434634
78,"Minneapolis, Minnesota, USA",1957-9-21,Ethan Coen,19,"Won
        4
        Oscars.",58.1711156742
79,"Brooklyn, New York City, New York, USA",1927-8-11,Stuart Rosenberg,45,"Won
        1
        Primetime Emmy.",88.2847364819
80,"Philadelphia, Pennsylvania, USA",1962-5-2,Tamara Jenkins,6 ,"Nominated for
        1
        Oscar.",53.5605749487
81,"London, England, UK",1921-4-16,Peter Ustinov,9 ,"Won
        2
        Oscars.",94.6036960986
82,"St. Marys, Ohio, USA",1893-6-16,William K. Howard,54,1 win.,122.43394935
83,"San Francisco, California, USA",1930-5-31,Clint Eastwood,38,"Won
        4
        Oscars.",85.4811772758
84,"Toronto, Ontario, Canada",1885-4-3,Allan Dwan,40,2 wins.,130.636550308
85,"New York City, New York, USA",1887-3-11,Raoul Walsh,13,2 wins & 5 nominations.,128.700889802
86,"Debowa Góra, Poland, Russian Empire [now Debowa Góra, Lódzkie, Poland]",1889-2-4,Richard Boleslawski,24,1 win & 1 nomination.,126.795345654
87,"New York City, New York, USA",1930-2-19,John Frankenheimer,51,"Nominated for
        2
        Golden Globes.",85.7577002053
88,"Berkeley, California, USA",1966-1-1,Mike Mills,10,5 wins & 11 nominations.,49.8918548939
89,"Vienna, Austria-Hungary [now Austria]",1907-4-29,Fred Zinnemann,47,"Won
        4
        Oscars.",108.569472964
90,"San Francisco, California, USA",1897-1-3,Dorothy Arzner,21,1 win.,118.882956879
91,"Brooklyn, New York City, New York, USA",1911-11-17,Charles Walters,29,"Nominated for
        1
        Oscar.",104.016427105
92,"The Bronx, New York City, New York, USA",1928-4-7,Alan J. Pakula,16,"Nominated for
        3
        Oscars.",87.627652293
93,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",1949-9-25,Pedro Almodóvar,34,"Won
        1
        Oscar.",66.160164271
94,"Sydney, New South Wales, Australia",1904-2-10,John Farrow,49,"Won
        1
        Oscar.",111.783709788
95,"Mexico City, Distrito Federal, Mexico",1961-11-28,Alfonso Cuarón,15,"Won
        2
        Oscars.",53.9849418207
96,"South Bend, Indiana, USA",1911-4-17,George Seaton,23,"Won
        2
        Oscars.",104.602327173
97,Israel,1962-5-15,Rod Lurie,15,4 wins & 2 nominations.,53.5249828884
98,"Memphis, Tennessee, USA",1896-8-10,Walter Lang,66,"Nominated for
        1
        Oscar.",119.282683094
99,"Missoula, Montana, USA",1946-1-20,David Lynch,47,"Nominated for
        4
        Oscars.",69.839835729
100,"Nevada, Missouri, USA",1906-8-5,John Huston,47,"Won
        2
        Oscars.",109.300479124
101,"Baltimore, Maryland, USA",1942-4-6,Barry Levinson,39,"Won
        1
        Oscar.",73.6317590691
102,"Pusztatúrpásztó, Austria-Hungary [now Hungary]",1893-9-16,Alexander Korda,67,1 win.,122.182067077
103,"Chicago, Illinois, USA",1951-5-14,Robert Zemeckis,26,"Won
        1
        Oscar.",64.5284052019
104,"Loutra-Iraias, Greece",1933-2-12,Costa-Gavras,23,"Won
        1
        Oscar.",82.7761806982
105,"Walworth, London, England, UK",1889-4-16,Charles Chaplin,72,"Won
        1
        Oscar.",126.600958248
106,"Cape Elizabeth, Maine, USA",1894-2-1,John Ford,14,"Won
        4
        Oscars.",121.804243669
107,"Hot Springs, Arkansas, USA",1955-8-4,Billy Bob Thornton,6 ,"Won
        1
        Oscar.",60.3039014374
108,"Milwaukee, Wisconsin, USA",1950-3-11,Jerry Zucker,8 ,"Nominated for
        1
        Primetime Emmy.",65.7029431896
109,"Bath, Somerset, England, UK [now Bath and North East Somerset, England, UK]",1943-4-3,Jonathan Lynn,13,6 wins & 1 nomination.,72.6406570842
110,"Brooklyn, New York City, New York, USA",1912-8-8,Daniel Mann,31,1 win & 6 nominations.,103.290896646
111,"Dublin, Ireland",1949-2-6,Jim Sheridan,9 ,"Nominated for
        6
        Oscars.",66.7926078029
112,"Parma, Emilia-Romagna, Italy",1941-3-16,Bernardo Bertolucci,25,"Won
        2
        Oscars.",74.688569473
113,"Ryde, Isle of Wight, England, UK",1954-1-6,Anthony Minghella,9 ,"Won
        1
        Oscar.",61.87816564
114,"San Diego, California, USA",1889-3-21,W.S. Van Dyke,91,"Nominated for
        2
        Oscars.",126.672142368
115,"Knoxville, Tennessee, USA",1963-3-27,Quentin Tarantino,17,"Won
        2
        Oscars.",52.6598220397
116,"Brighton, East Sussex, England, UK",1921-3-1,Jack Clayton,10,"Nominated for
        1
        Oscar.",94.7296372348
117,"La Cañada, California, USA",1889-2-23,Victor Fleming,50,"Won
        1
        Oscar.",126.743326489
118,"Kingston, New York, USA",1939-7-30,Peter Bogdanovich,32,"Nominated for
        2
        Oscars.",76.3175906913
119,"Paris, Arkansas, USA",1936-2-3,James Bridges,8 ,"Nominated for
        2
        Oscars.",79.8028747433
120,"Ogden, Utah, USA",1929-9-2,Hal Ashby,15,"Won
        1
        Oscar.",86.2231348392
121,"Salt Lake City, Utah, USA",1894-4-23,Frank Borzage,10,"Won
        2
        Oscars.",121.582477755
122,"Chicago, Illinois, USA",1927-6-23,Bob Fosse,8 ,"Won
        1
        Oscar.",88.4188911704
123,"Feltham, Middlesex, England, UK",1891-3-20,Edmund Goulding,41,2 nominations.,124.676249144
124,"Philadelphia, Pennsylvania, USA",1906-7-18,Clifford Odets,2 ,0,109.349760438
125,"Budapest, Austria-Hungary [now Hungary]",1918-4-1,Ján Kadár,20,3 wins & 5 nominations.,97.6454483231
126,"Chicago, Illinois, USA",1899-2-23,Norman Taurog,18,"Won
        1
        Oscar.",116.744695414
127,"Blue Island, Illinois, USA",1955-3-17,Gary Sinise,5 ,"Nominated for
        1
        Oscar.",60.6872005476
128,"New York City, New York, USA",1918-10-11,Jerome Robbins,2 ,"Won
        1
        Oscar.",97.1170431211
129,"Abilene, Texas, USA",1944-11-27,Gregory Hoblit,21,"Won
        9
        Primetime Emmys.",70.9869952088
130,"Galveston, Texas, USA",1894-2-8,King Vidor,79,"Nominated for
        5
        Oscars.",121.785078713
131,"Glendale, California, USA",1953-11-6,Ron Underwood,47,4 nominations.,62.045174538
132,"Los Angeles, California, USA",1937-10-14,Carroll Ballard,11,"Nominated for
        1
        Oscar.",78.1081451061
133,"Los Angeles, California, USA",1896-10-3,Leo McCarey,10,"Won
        3
        Oscars.",119.134839151
134,"Glasgow, Scotland, UK",1886-2-2,Frank Lloyd,13,"Won
        2
        Oscars.",129.801505818
135,"Moscow, Russian SFSR, USSR [now Russia]",1945-10-21,Nikita Mikhalkov,27,"Nominated for
        2
        BAFTA Film Awards.",70.0889801506
136,"Rimini, Emilia-Romagna, Italy",1920-1-20,Federico Fellini,27,"Nominated for
        12
        Oscars.",95.8412046543
137,"Lafayette, Indiana, USA",1934-7-1,Sydney Pollack,38,"Won
        2
        Oscars.",81.3963039014
138,"Houston, Texas, USA",1934-6-1,Peter Masterson,11,2 wins & 2 nominations.,81.4784394251
139,"New York City, New York, USA",1914-3-2,Martin Ritt,30,"Nominated for
        1
        Oscar.",101.727583847
140,"Minneapolis, Minnesota, USA",1921-12-20,George Roy Hill,19,"Won
        1
        Oscar.",93.9247091034
141,"New York City, New York, USA",1921-11-8,Gene Saks,8 ,1 nomination.,94.0396988364
142,"Williamsburg, Brooklyn, New York City, New York, USA",1942-4-24,Barbra Streisand,8 ,"Won
        2
        Oscars.",73.582477755
143,"Deadwood, South Dakota, USA",1896-12-2,Alfred L. Werker,50,1 win & 2 nominations.,118.970568104
144,"Modesto, California, USA",1944-5-14,George Lucas,18,"Nominated for
        4
        Oscars.",71.5263518138
145,"New York City, New York, USA",1929-3-23,Mark Rydell,25,"Nominated for
        1
        Oscar.",86.6694045175
146,"Dresden, Saxony, Germany",1900-8-8,Robert Siodmak,61,"Nominated for
        1
        Oscar.",115.290896646
147,"Wiznitz, Bukovina, Austria-Hungary [now Vyzhnytsia, Chernivetska oblast, Ukraine]",1905-12-5,Otto Preminger,43,"Nominated for
        3
        Oscars.",109.965776865
148,"Cumberland, Rhode Island, USA",1958-6-17,Bobby Farrelly,16,3 wins & 4 nominations.,57.4346338125
149,1955,1955-1-1,Paul Shapiro,67,1 win & 9 nominations.,60.8925393566
150,"Alligator, Mississippi, USA",1914-12-23,Fred Coe,15,"Nominated for
        1
        Oscar.",100.917180014
151,"Leytonstone, London, England, UK",1899-8-13,Alfred Hitchcock,69,"Nominated for
        5
        Oscars.",116.27652293
152,"Ottawa, Illinois, USA",1943-11-30,Terrence Malick,10,"Nominated for
        3
        Oscars.",71.9808350445
153,"Nouméa, New Caledonia, France",1941-7-28,Colin Higgins,3 ,"Nominated for
        1
        Golden Globe.",74.3216974675
154,"Dodge City, Kansas, USA",1936-5-17,Dennis Hopper,9 ,"Nominated for
        2
        Oscars.",79.5181382615
155,"Stockholm, Stockholms län, Sweden",1946-6-2,Lasse Hallström,36,"Nominated for
        3
        Oscars.",69.4757015743
156,"Oak Park, Illinois, USA",1910-1-3,John Sturges,45,"Nominated for
        1
        Oscar.",105.886379192
157,"Paris, France",1945-2-15,Christine Edzard,7 ,"Nominated for
        1
        Oscar.",70.7679671458
158,"London, England, UK",1902-11-9,Anthony Asquith,44,3 wins & 5 nominations.,113.037645448
159,"Hampstead, London, England, UK",1926-2-16,John Schlesinger,28,"Won
        1
        Oscar.",89.7659137577
160,"Wapakoneta, Ohio, USA",1895-4-6,Dudley Nichols,3 ,"Won
        1
        Oscar.",120.629705681
161,"Sligo, Ireland",1950-2-25,Neil Jordan,21,"Won
        1
        Oscar.",65.7412731006
162,"Montreal, Quebec, Canada",1977-10-19,Jason Reitman,15,"Nominated for
        4
        Oscars.",38.0944558522
163,"New York City, New York, USA",1958-8-20,David O. Russell,12,"Nominated for
        5
        Oscars.",57.2594113621
164,"Barnstaple, Devon, England, UK",1943-3-28,Richard Eyre,21,"Nominated for
        1
        BAFTA Film Award.",72.6570841889
165,"London, England, UK",1958-1-1,Iain Softley,11,3 wins & 2 nominations.,57.8918548939
166,"London, England, UK",1972-1-1,Joe Wright,12,"Nominated for
        1
        Golden Globe.",43.8932238193
167,"Shaker Heights, Ohio, USA",1925-1-26,Paul Newman,6 ,"Won
        1
        Oscar.",90.8227241615
168,"Brooklyn, New York City, New York, USA",1969-2-12,Darren Aronofsky,12,"Nominated for
        1
        Oscar.",46.7761806982
169,"Ferrara, Emilia-Romagna, Italy",1912-9-29,Michelangelo Antonioni,35,"Nominated for
        2
        Oscars.",103.148528405
170,"Moscow, RSFSR, USSR [now Russia]",1937-8-20,Andrey Konchalovskiy,27,"Won
        1
        Primetime Emmy.",78.2587268994
171,"Kiev, Russian Empire [now Ukraine]",1902-5-10,Anatole Litvak,42,"Nominated for
        2
        Oscars.",113.538672142
172,"Peekskill, New York, USA",1956-1-3,Mel Gibson,7 ,"Won
        2
        Oscars.",59.8877481177
173,"Manhattan, New York City, New York, USA",1956-9-11,Tony Gilroy,4 ,"Nominated for
        2
        Oscars.",59.1978097194
174,"South Shields, Tyne and Wear, England, UK",1937-11-30,Ridley Scott,36,"Nominated for
        3
        Oscars.",77.9794661191
175,"San Antonio, Texas, USA",1958-11-10,Stephen Herek,24,1 win & 3 nominations.,57.0349075975
176,"Berkeley, California, USA",1972-8-15,Ben Affleck,7 ,"Won
        2
        Oscars.",43.2717316906
177,"Ostrava, Czechoslovakia [now Czech Republic]",1926-7-21,Karel Reisz,15,"Won
        1
        BAFTA Film Award.",89.3415468857
178,"Ipswich, Suffolk, England, UK",1940-1-14,Trevor Nunn,13,2 wins & 2 nominations.,75.8576317591
179,"St Germain en Laye, France",1971-4-4,Jean-Baptiste Andrea,3 ,6 wins & 3 nominations.,44.6379192334
180,"Truro, Cornwall, England, UK",1963-4-30,James Marsh,14,"Won
        1
        Oscar.",52.5667351129
181,"Manchester, England, UK",1956-10-20,Danny Boyle,26,"Won
        1
        Oscar.",59.0910335387
182,"Studio City, California, USA",1970-6-26,Paul Thomas Anderson,30,"Nominated for
        6
        Oscars.",45.4099931554
183,"Des Moines, Iowa, USA",1962-7-6,Peter Hedges,3 ,"Nominated for
        1
        Oscar.",53.3826146475
184,"Santa Barbara, California, USA",1944-12-31,Taylor Hackford,21,"Won
        1
        Oscar.",70.893908282
185,"Mexico City, Distrito Federal, Mexico",1963-8-15,Alejandro González Iñárritu,15,"Won
        3
        Oscars.",52.2737850787
186,"Detroit, Michigan, USA",1939-4-7,Francis Ford Coppola,34,"Won
        5
        Oscars.",76.629705681
187,"Memphis, Tennessee, USA",1964-1-1,Courtney Hunt,4 ,"Nominated for
        1
        Oscar.",51.8932238193
188,"Paris, France",1933-8-18,Roman Polanski,35,"Won
        1
        Oscar.",82.264202601
189,"Limhamn, Malmö, Skåne län, Sweden",1931-7-23,Jan Troell,31,"Nominated for
        2
        Oscars.",84.3367556468
190,"Menominee, Michigan, USA",1898-10-6,Mitchell Leisen,50,"Nominated for
        1
        Oscar.",117.127994524
191,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",1952-10-27,Roberto Benigni,9 ,"Won
        1
        Oscar.",63.0718685832
192,"Oak Ridge, Tennessee, USA",1964-3-16,Gore Verbinski,11,"Won
        1
        Oscar.",51.6878850103
193,"Reading, Berkshire, England, UK",1965-8-1,Sam Mendes,8 ,"Won
        1
        Oscar.",50.3107460643
194,"Minneapolis, Minnesota, USA",1954-11-29,Joel Coen,19,"Won
        4
        Oscars.",60.9828884326
195,"Omaha, Nebraska, USA",1961-2-10,Alexander Payne,13,"Won
        2
        Oscars.",54.7816563997
196,"Markelo, Overijssel, Netherlands",1968-3-4,Johan Nijenhuis,22,6 wins & 9 nominations.,47.7207392197
197,"Hell's Kitchen [now Clinton], Manhattan, New York City, New York, USA",1913-9-29,Stanley Kramer,20,"Nominated for
        9
        Oscars.",102.149212868
198,"Atlanta, Georgia, USA",1963-1-14,Steven Soderbergh,37,"Won
        1
        Oscar.",52.8569472964
199,"Cincinnati, Ohio, USA",1875-10-20,Edgar Selwyn,8 ,1 win.,140.090349076
200,"Tiflis, Russian Empire [now Tbilisi, Republic of Georgia]",1897-10-8,Rouben Mamoulian,19,7 wins & 2 nominations.,118.12183436
201,"Newton, Massachusetts, USA",1925-2-8,Jack Lemmon,1 ,"Won
        2
        Oscars.",90.7871321013
202,"Budapest, Hungary",1937-12-23,Peter Medak,64,1 win & 3 nominations.,77.916495551
203,"Kansas City, Missouri, USA",1939-2-12,John D. Hancock,18,"Nominated for
        1
        Oscar.",76.7775496235
204,"London, England, UK",1899-10-16,Peter Godfrey,45,0,116.101300479
205,"England, UK",1964-1-1,Peter Cattaneo,12,"Nominated for
        2
        Oscars.",51.8932238193
206,"Kansas City, Missouri, USA",1925-2-20,Robert Altman,88,"Nominated for
        7
        Oscars.",90.7542778919
207,"Grand Rapids, Michigan, USA",1946-7-22,Paul Schrader,22,"Nominated for
        2
        Golden Globes.",69.3388090349
208,"Lexington, Kentucky, USA",1961-5-6,George Clooney,6 ,"Won
        2
        Oscars.",54.5489390828
209,"Christiansburg, Virginia, USA",1886-1-24,Henry King,11,"Nominated for
        2
        Oscars.",129.826146475
210,"Llanishen, Cardiff, Glamorgan, Wales, UK",1937-9-22,Richard Marquand,26,2 wins & 3 nominations.,78.1683778234
211,"Los Angeles, California, USA",1945-2-20,Randa Haines,16,"Nominated for
        1
        Primetime Emmy.",70.7542778919
212,"Columbia, South Carolina, USA",1924-4-13,Stanley Donen,31,12 wins & 9 nominations.,91.6112251882
213,"Sydney, Australia",1952-11-14,Chris Noonan,12,"Nominated for
        2
        Oscars.",63.022587269
214,"Auxerre, Yonne, France",1932-4-8,Jean-Paul Rappeneau,9 ,"Nominated for
        1
        Oscar.",83.6249144422
215,"Boston, Massachusetts, USA",1927-8-3,Elliot Silverstein,34,4 wins & 2 nominations.,88.3066392882
216,South Africa,1956-6-5,Roger Michell,19,6 wins & 15 nominations.,59.4661190965
217,"Brookline, Massachusetts, USA",1896-2-29,William A. Wellman,83,"Won
        1
        Oscar.",119.728952772
218,"New York City, New York, USA",1933-2-21,Bob Rafelson,19,"Nominated for
        2
        Oscars.",82.7515400411
219,"Brooklyn, New York City, New York, USA",1930-4-25,Paul Mazursky,19,"Nominated for
        5
        Oscars.",85.5797399042
220,"Paris, France",1894-9-15,Jean Renoir,41,"Nominated for
        1
        Oscar.",121.185489391
221,"Graceville, Minnesota, USA",1887-7-17,Jack Conway,11,2 wins & 1 nomination.,128.350444901
222,"Budapest, Austria-Hungary [now Hungary]",1900-7-27,Charles Vidor,36,2 wins & 3 nominations.,115.323750856
223,"Pukerua Bay, North Island, New Zealand",1961-10-31,Peter Jackson,20,"Won
        3
        Oscars.",54.0616016427
224,"Toronto, Ontario, Canada",1979-1-8,Sarah Polley,8 ,"Nominated for
        1
        Oscar.",36.8733744011
225,"London, England, UK",1927-6-16,Charles Jarrott,50,"Won
        1
        Golden Globe.",88.4380561259
226,"Pittsburgh, Pennsylvania, USA",1933-2-22,Milton Katselas,6 ,0,82.7488021903
227,"London, England, UK",1945-11-17,Roland Joffé,25,"Nominated for
        2
        Oscars.",70.0150581793
228,"Pittsburgh, Pennsylvania, USA",1966-1-19,Antoine Fuqua,20,3 wins & 4 nominations.,49.8425735797
229,"The Bronx, New York City, New York, USA",1950-10-3,John Patrick Shanley,2 ,"Won
        1
        Oscar.",65.1389459274
230,"Baldwin, Long Island, New York, USA",1944-2-22,Jonathan Demme,57,"Won
        1
        Oscar.",71.7508555784
231,"Long Island City, New York, USA",1916-10-4,George Sidney,57,"Won
        1
        Golden Globe.",99.1348391513
232,"Uppsala, Uppsala län, Sweden",1918-7-14,Ingmar Bergman,67,"Nominated for
        9
        Oscars.",97.3607118412
233,"Alameda County, California, USA",1957-7-7,Jonathan Dayton,26,16 wins & 16 nominations.,58.379192334
234,"Belfast, Northern Ireland, UK",1960-12-10,Kenneth Branagh,19,"Nominated for
        5
        Oscars.",54.9514031485
235,"New York City, New York, USA",1946-9-15,Oliver Stone,29,"Won
        3
        Oscars.",69.1882272416
236,"San Francisco, California, USA",1888-10-11,Lowell Sherman,15,0,127.112936345
237,"Chicago, Illinois, USA",1943-2-5,Michael Mann,20,"Nominated for
        4
        Oscars.",72.7967145791
238,"Richmond, Melbourne, Victoria, Australia",1939-12-26,Fred Schepisi,20,"Nominated for
        2
        Golden Globes.",75.909650924
239,"London, England, UK",1891-4-10,Harold S. Bucquet,28,0,124.618754278
240,Hong Kong,1960-1-1,Gordon Chan,31,6 wins & 10 nominations.,55.8932238193
241,"New York City, New York, USA",1941-5-19,Nora Ephron,8 ,"Nominated for
        3
        Oscars.",74.5133470226
242,"Chicago, Illinois, USA",1903-2-28,Vincente Minnelli,38,"Won
        1
        Oscar.",112.733744011
243,"Philadelphia, Pennsylvania, USA",1922-9-27,Arthur Penn,27,"Nominated for
        3
        Oscars.",93.1553730322
